南瓜燈	南瓜燈 🎃
驚訝	驚訝 🤭 🫢 🫣 🤨 😏 🙄 😬 🫨 😲 🤗 🤫 🤔 🫡 😕 🫤 😟 🙁 ☹️ 😮 😯 😳 🥺 🥹 😦 😧 😨 😰 😥 😢 😭 😱 😖 😣 😞 😓 😩 😫 🥱
偷看	偷看 🫣
噓聲	噓聲 🤫
安靜	安靜 🤫 🤐 😐 😑 😶 🫥 😶‍🌫️ 😒 😮‍💨 🤥 🙂‍↔️ 🙂‍↕️ 😌 😔 😪 🤤 😴 🫩 😷 🤒 🤕 🤢 🤮 🤧 🥵 🥶 🥴 😵 😵‍💫 🤯 🤠 🥳 🥸 😎 🤓 🧐 😕 🫤 😟 🙁 ☹️ 😮 😯 😲 😳 🥺 🥹 😦 😧 😨 😰 😥 😢 😭 😱 😖 😣 😞 😓 😩 😫 🥱 😤 😡 😠 🤬 😈 👿 💀 ☠️ 💩 🤡 👹 👺 👻 👽 👾 🤖 😺 😸 😹 😻 😼 😽 🙀 😿 😾 🙈 🙉 🙊 💌 💘 💝 💖 💗 💓 💞 💕 💟 ❣️ 💔 ❤️‍🔥 ❤️‍🩹 ❤️ 🩷 🧡 💛 💚 💙 🩵 💜 🤎 🖤 🩶 🤍 💋 💯 💢 💥 💫 💦 💨 🕳️ 💬 👁️‍🗨️ 🗨️ 🗯️ 💭 💤
思考	思考 🤔
敬禮	敬禮 🫡
閉嘴	閉嘴 🤐
挑眉	挑眉 🤨
平臉	平臉 😐 🤐 🤨 😑 😶 🫥 😶‍🌫️ 😏 😒 🙄 😬 😮‍💨 🤥 🫨 🙂‍↔️ 🙂‍↕️
無表情	無表情 😑 🤐 🤨 😐 😶 🫥 😶‍🌫️ 😏 😒 🙄 😬 😮‍💨 🤥 🫨 🙂‍↔️ 🙂‍↕️
無嘴	無嘴 😶
虛線	虛線 🫥
雲臉	雲臉 😶‍🌫️
不悅	不悅 😒
翻眼	翻眼 🙄
齜牙	齜牙 😬
吐氣	吐氣 😮‍💨
說謊	說謊 🤥
震臉	震臉 🫨
左右	左右 🙂‍↔️ ↔️
上下	上下 🙂‍↕️ ↕️
放鬆	放鬆 😌 😔 😪 🤤 😴 🫩
沉思	沉思 😔
睏臉	睏臉 😪 😌 😔 🤤 😴 🫩
流口	流口 🤤
睡覺	睡覺 😴
黑眼	黑眼 🫩
口罩	口罩 😷
發燒	發燒 🤒
包頭	包頭 🤕
噁心	噁心 🤢 😷 🤒 🤕 🤮 🤧 🥵 🥶 🥴 😵 😵‍💫 🤯
嘔吐	嘔吐 🤮
打噴	打噴 🤧
熱臉	熱臉 🥵
冷臉	冷臉 🥶
暈臉	暈臉 🥴
眩暈	眩暈 😵 💫
旋眼	旋眼 😵‍💫
爆頭	爆頭 🤯
牛仔	牛仔 🤠 🥳 🥸
派對	派對 🥳 🤠 🥸
偽裝	偽裝 🥸
書呆	書呆 🤓 😎 🧐
單鏡	單鏡 🧐
困惑	困惑 😕 😖 🫤 😟 🙁 ☹️ 😮 😯 😲 😳 🥺 🥹 😦 😧 😨 😰 😥 😢 😭 😱 😣 😞 😓 😩 😫 🥱
斜嘴	斜嘴 🫤
擔心	擔心 😟
微皺	微皺 🙁
皺眉	皺眉 ☹️
張嘴	張嘴 😮
臉紅	臉紅 😳
哀求	哀求 🥺
忍淚	忍淚 🥹
張皺	張皺 😦
痛苦	痛苦 😧
害怕	害怕 😨
焦慮	焦慮 😰
悲鬆	悲鬆 😥
哭泣	哭泣 😢
大哭	大哭 😭
尖叫	尖叫 😱
堅持	堅持 😣
失望	失望 😞
沮喪	沮喪 😓
疲憊	疲憊 😩
疲倦	疲倦 😫
打哈	打哈 🥱
冒氣	冒氣 😤
憤怒	憤怒 😡 😤 😠 🤬 😈 👿 💀 ☠️
生氣	生氣 😠 😤 😡 🤬 😈 👿 💀 ☠️
咒罵	咒罵 🤬
惡笑	惡笑 😈
惡怒	惡怒 👿
骷髏	骷髏 💀 ☠️
糞便	糞便 💩
怪物	怪物 👹 💩 🤡 👺 👻 👽 👾 🤖
妖怪	妖怪 👺
鬼魂	鬼魂 👻
外星	外星 👽
怪獸	怪獸 👾
機器	機器 🤖
貓笑	貓笑 😺 😼 😸 😹 😻 😽 🙀 😿 😾
貓眼	貓眼 😸
貓哭	貓哭 😹
貓愛	貓愛 😻 😺 😸 😹 😼 😽 🙀 😿 😾
貓吻	貓吻 😽
貓累	貓累 🙀
貓泣	貓泣 😿
貓怒	貓怒 😾
遮眼	遮眼 🙈 🙉 🙊
遮耳	遮耳 🙉 🙈 🙊
遮嘴	遮嘴 🙊
情書	情書 💌
箭心	箭心 💘
禮心	禮心 💝
閃心	閃心 💖
長心	長心 💗
跳心	跳心 💓
轉心	轉心 💞
雙心	雙心 💕
裝心	裝心 💟
驚心	驚心 ❣️
碎心	碎心 💔
火心	火心 ❤️‍🔥
補心	補心 ❤️‍🩹
粉心	粉心 🩷
橙心	橙心 🧡
黃心	黃心 💛
綠心	綠心 💚
藍心	藍心 💙
淡藍	淡藍 🩵
紫心	紫心 💜
棕心	棕心 🤎
黑心	黑心 🖤
灰心	灰心 🩶
白心	白心 🤍
唇印	唇印 💋
百分	百分 💯 💋 💢 💥 💫 💦 💨 🕳️ 💬 👁️‍🗨️ 🗨️ 🗯️ 💭 💤
怒符	怒符 💢 💋 💯 💥 💫 💦 💨 🕳️ 💬 👁️‍🗨️ 🗨️ 🗯️ 💭 💤
碰撞	碰撞 💥
汗滴	汗滴 💦
飛奔	飛奔 💨
洞	洞 🕳️
氣泡	氣泡 💬
眼泡	眼泡 👁️‍🗨️
左泡	左泡 🗨️
怒泡	怒泡 🗯️
思泡	思泡 💭
睡聲	睡聲 💤
提款機	提款機 🏧
自動提款機	自動提款機 🏧
ATM	ATM 🏧
丟垃圾	丟垃圾 🚮
丟棄	丟棄 🚮
可飲水	可飲水 🚰
飲用水	飲用水 🚰
水源	水源 🚰 🚱
輪椅	輪椅 ♿
無障礙	無障礙 ♿
殘疾	殘疾 ♿
男廁	男廁 🚹
男士廁所	男士廁所 🚹
男衛生間	男衛生間 🚹
女廁	女廁 🚺
女士廁所	女士廁所 🚺
女衛生間	女衛生間 🚺
廁所	廁所 🚻 🚾
公共廁所	公共廁所 🚻
洗手間	洗手間 🚻 🚾
嬰兒	嬰兒 🚼
嬰兒室	嬰兒室 🚼
嬰兒標誌	嬰兒標誌 🚼
衛生間	衛生間 🚾
護照	護照 🛂
海關	海關 🛂 🛃
出入境	出入境 🛂
檢查	檢查 🛃
申報	申報 🛃
行李	行李 🛄 🧳
提取	提取 🛄
行李提取	行李提取 🛄
寄存	寄存 🛅
行李寄存	行李寄存 🛅
存放	存放 🛅
警告	警告 ⚠️ 🚸 ⛔ 🚫 🚳 🚭 🚯 🚱 🚷 📵 🔞 ☢️ ☣️
注意	注意 ⚠️ 🚸 ⛔ 🚫 🚳 🚭 🚯 🚱 🚷 📵 🔞 ☢️ ☣️ 📢
危險	危險 ⚠️ ☢️ ☣️ 🚸 ⛔ 🚫 🚳 🚭 🚯 🚱 🚷 📵 🔞
孩童	孩童 🚸
兒童	兒童 🚸
過馬路	過馬路 🚸
禁止	禁止 ⛔ 🚫 🈲
禁入	禁入 ⛔
不允許	不允許 🚫
禁止標誌	禁止標誌 🚫
禁止自行車	禁止自行車 🚳
禁止騎車	禁止騎車 🚳
禁止騎行	禁止騎行 🚳
禁止吸煙	禁止吸煙 🚭
禁煙	禁煙 🚭
吸煙區	吸煙區 🚭
禁止丟垃圾	禁止丟垃圾 🚯
禁止亂丟	禁止亂丟 🚯
垃圾區	垃圾區 🚯
非飲用水	非飲用水 🚱
不可飲用	不可飲用 🚱
禁止行人	禁止行人 🚷
禁止通行	禁止通行 🚷
行人區	行人區 🚷
禁止手機	禁止手機 📵
禁止使用手機	禁止使用手機 📵
手機禁用	手機禁用 📵
未滿十八	未滿十八 🔞
禁止未成年人	禁止未成年人 🔞
成年限制	成年限制 🔞
放射	放射 ☢️
輻射	輻射 ☢️
生物危害	生物危害 ☣️
有害	有害 ☣️
向上	向上 ⬆️ 🔼 🆙 📈
上升	上升 ⬆️ 🔼
上	上 ⬆️
右上	右上 ↗️
向右上	向右上 ↗️
右上角	右上角 ↗️
向右	向右 ➡️
右移	右移 ➡️
右	右 ➡️
右下	右下 ↘️
向右下	向右下 ↘️
右下角	右下角 ↘️
向下	向下 ⬇️ 🔽 📉
下降	下降 ⬇️ 🔽
下	下 ⬇️
左下	左下 ↙️
向左下	向左下 ↙️
左下角	左下角 ↙️
向左	向左 ⬅️
左移	左移 ⬅️
左	左 ⬅️
左上	左上 ↖️
向左上	向左上 ↖️
左上角	左上角 ↖️
垂直	垂直 ↕️
垂直方向	垂直方向 ↕️
水平	水平 ↔️
水平方向	水平方向 ↔️
右轉左	右轉左 ↩️
向左轉	向左轉 ↩️
左彎	左彎 ↩️
左轉右	左轉右 ↪️
向右轉	向右轉 ↪️
右彎	右彎 ↪️
右轉上	右轉上 ⤴️
向上轉	向上轉 ⤴️
上彎	上彎 ⤴️
右轉下	右轉下 ⤵️
向下轉	向下轉 ⤵️
下彎	下彎 ⤵️
順時針	順時針 🔃
旋轉	旋轉 🔃 🔄
順時針旋轉	順時針旋轉 🔃
逆時針	逆時針 🔄
逆時針旋轉	逆時針旋轉 🔄
返回	返回 🔙
後退	後退 🔙 ◀️
回去	回去 🔙
結束	結束 🔚 ⏹️
終止	終止 🔚
終點	終點 🔚
開啟	開啟 🔛
啟動	啟動 🔛
開始	開始 🔛 ▶️ 🟢
即將	即將 🔜
快速	快速 🔜 ⏫ ⏬
即刻	即刻 🔜
頂部	頂部 🔝
上方	上方 🔝
最上	最上 🔝
禮拜	禮拜 🛐
崇拜	崇拜 🛐
原子	原子 ⚛️
科學	科學 ⚛️ ⚗️ 🧪 🧫 🧬 🔬 🔭 📡
原子符號	原子符號 ⚛️
唵	唵 🕉️
印度教	印度教 🕉️ 🪯
禱告	禱告 🕉️
大衛星	大衛星 ✡️
猶太教	猶太教 ✡️ 🕎
星形	星形 ✡️ 🔯 ✳️ ✴️ ❇️
法輪	法輪 ☸️
佛教	佛教 ☸️
輪子	輪子 ☸️
陰陽	陰陽 ☯️
太極	太極 ☯️
平衡	平衡 ☯️
十字架	十字架 ✝️
基督教	基督教 ✝️
信仰	信仰 ✝️ 🛐 ⚛️ 🕉️ ✡️ ☸️ ☯️ ☦️ ☪️ ☮️ 🕎 🔯 🪯
東正十字	東正十字 ☦️
東正教	東正教 ☦️
十字	十字 ☦️
星月	星月 ☪️
伊斯蘭教	伊斯蘭教 ☪️
月亮	月亮 ☪️
和平	和平 ☮️
和諧	和諧 ☮️
平靜	平靜 ☮️
燭台	燭台 🕎
燈台	燈台 🕎
六角星	六角星 🔯
點星	點星 🔯
卡達	卡達 🪯
劍形	劍形 🪯
白羊座	白羊座 ♈
羊座	羊座 ♈
星座	星座 ♈ ♉ ♊ ♋ ♌ ♍ ♎ ♏ ♐ ♑ ♒ ♓ ⛎
金牛座	金牛座 ♉
牛座	牛座 ♉
雙子座	雙子座 ♊
雙座	雙座 ♊
巨蟹座	巨蟹座 ♋
蟹座	蟹座 ♋
獅子座	獅子座 ♌
獅座	獅座 ♌
處女座	處女座 ♍
女座	女座 ♍
天秤座	天秤座 ♎
秤座	秤座 ♎
天蠍座	天蠍座 ♏
蠍座	蠍座 ♏
射手座	射手座 ♐
手座	手座 ♐
摩羯座	摩羯座 ♑
羯座	羯座 ♑
水瓶座	水瓶座 ♒
瓶座	瓶座 ♒
雙魚座	雙魚座 ♓
魚座	魚座 ♓
蛇夫座	蛇夫座 ⛎
蛇座	蛇座 ⛎
隨機播放	隨機播放 🔀
隨機	隨機 🔀
音樂	音樂 🔀 🔁 ▶️ ⏩ ⏭️ ⏯️ ◀️ ⏪ ⏮️ 🔼 ⏫ 🔽 ⏬ ⏸️ ⏹️ ⏺️ ⏏️ 🎼 🎵 🎶 🎙️ 🎚️ 🎛️ 🎤 🎧 📻 🔂 🎦 🔅 🔆 📶 🛜 📳 📴
重複	重複 🔁
循環	循環 🔁 🔂 ♻️
單曲重複	單曲重複 🔂
單曲	單曲 🔂
播放	播放 ▶️
快進	快進 ⏩
前進	前進 ⏩
下一曲	下一曲 ⏭️
下一	下一 ⏭️
播放暫停	播放暫停 ⏯️
暫停	暫停 ⏯️ ⏸️
倒退	倒退 ◀️ ⏪
快退	快退 ⏪
上一曲	上一曲 ⏮️
上一	上一 ⏮️
快速向上	快速向上 ⏫
快速向下	快速向下 ⏬
錄音	錄音 ⏺️
錄製	錄製 ⏺️
彈出	彈出 ⏏️
退出	退出 ⏏️
電影院	電影院 🎦
影片	影片 🎦
視頻	視頻 🎦 🎥 🎞️ 📽️ 🎬 📺 📷 📸 📹 📼 🔍 🔎 🕯️ 💡 🔦 🏮 🪔 🔀 🔁 🔂 ▶️ ⏩ ⏭️ ⏯️ ◀️ ⏪ ⏮️ 🔼 ⏫ 🔽 ⏬ ⏸️ ⏹️ ⏺️ ⏏️ 🔅 🔆 📶 🛜 📳 📴
暗	暗 🔅
降低	降低 🔅
光線	光線 🔅 🔆
亮	亮 🔆
提高	提高 🔆
信號	信號 📶
網絡	網絡 📶 🛜
連接	連接 📶 🛜
無線	無線 🛜
震動	震動 📳
振動	振動 📳
手機關閉	手機關閉 📴
關機	關機 📴
女性	女性 ♀️ ♂️ ⚧️
女	女 ♀️
女士	女士 ♀️
男性	男性 ♂️ ♀️ ⚧️
男	男 ♂️
男士	男士 ♂️
跨性別	跨性別 ⚧️
變性	變性 ⚧️
性別	性別 ⚧️ ♀️ ♂️
乘	乘 ✖️
乘法	乘法 ✖️
計算	計算 ✖️ ➕ ➖ ➗ 🟰 ♾️
加	加 ➕
加法	加法 ➕
減	減 ➖
減法	減法 ➖
除	除 ➗
除法	除法 ➗
等於	等於 🟰
相等	相等 🟰
平等	平等 🟰
無限	無限 ♾️
無窮	無窮 ♾️
無邊	無邊 ♾️
雙驚嘆號	雙驚嘆號 ‼️
驚嘆號	驚嘆號 ‼️ ❕ ❗
感嘆	感嘆 ‼️ ⁉️ ❕ ❗
驚嘆問號	驚嘆問號 ⁉️
問號	問號 ⁉️ ❓ ❔
紅問號	紅問號 ❓
疑問	疑問 ❓ ❔
白問號	白問號 ❔
白驚嘆號	白驚嘆號 ❕
紅驚嘆號	紅驚嘆號 ❗
波浪線	波浪線 〰️
波浪	波浪 〰️
線條	線條 〰️
貨幣兌換	貨幣兌換 💱
兌換	兌換 💱
金錢	金錢 💱 💲 💰 🪙 💴 💵 💶 💷 💸 💳 🧾 💹
美金	美金 💲
醫療	醫療 ⚕️ 💉 🩸 💊 🩹 🩼 🩺 🩻
健康	健康 ⚕️ 💉 🩸 💊 🩹 🩼 🩺 🩻
醫學	醫學 ⚕️
回收	回收 ♻️
環保	環保 ♻️
百合花	百合花 ⚜️
花形	花形 ⚜️
裝飾	裝飾 ⚜️
三叉戟	三叉戟 🔱
武器	武器 🔱
標誌	標誌 🔱 🏁 🚩 🎌 🏴 🏳️ 🏳️‍🌈 🏳️‍⚧️ 🏴‍☠️ 🏧 🚮 🚰 ♿ 🚹 🚺 🚻 🚼 🚾 🛂 🛃 🛄 🛅
名牌	名牌 📛
標識	標識 📛 ™️
名稱	名稱 📛
初學者	初學者 🔰
新手	新手 🔰
初級	初級 🔰
空心紅圈	空心紅圈 ⭕
圈形	圈形 ⭕
圓形	圓形 ⭕ 🔴 🟠 🟡 🟢 🔵 🟣 🟤 ⚫ ⚪ 🔘
勾選	勾選 ✅
確認	確認 ✅ ✔️
標記	標記 ✅ ✔️ ❌ 〽️ ✳️ ✴️ ©️ ®️ ™️ 🫟 📌
勾選框	勾選框 ☑️
確認框	確認框 ☑️
標記框	標記框 ☑️
勾	勾 ✔️
叉	叉 ❌
錯誤	錯誤 ❌
叉按鈕	叉按鈕 ❎
錯誤按鈕	錯誤按鈕 ❎
標記按鈕	標記按鈕 ❎
彎曲環	彎曲環 ➰
環形	環形 ➰
彎曲	彎曲 ➰ ➿
雙彎曲環	雙彎曲環 ➿
雙環	雙環 ➿
部分交替	部分交替 〽️
交替	交替 〽️
八角星	八角星 ✳️ ✴️
光芒	光芒 ❇️
版權	版權 ©️
著作權	著作權 ©️
註冊	註冊 ®️
商標	商標 ®️ ™️
濺射	濺射 🫟
飛濺	飛濺 🫟
鍵帽#	鍵帽# #️⃣
按鍵#	按鍵# #️⃣
符號#	符號# #️⃣
鍵帽*	鍵帽* *️⃣
按鍵*	按鍵* *️⃣
符號*	符號* *️⃣
鍵帽0	鍵帽0 0️⃣
按鍵0	按鍵0 0️⃣
符號0	符號0 0️⃣
鍵帽1	鍵帽1 1️⃣
按鍵1	按鍵1 1️⃣
符號1	符號1 1️⃣
鍵帽2	鍵帽2 2️⃣
按鍵2	按鍵2 2️⃣
符號2	符號2 2️⃣
鍵帽3	鍵帽3 3️⃣
按鍵3	按鍵3 3️⃣
符號3	符號3 3️⃣
鍵帽4	鍵帽4 4️⃣
按鍵4	按鍵4 4️⃣
符號4	符號4 4️⃣
鍵帽5	鍵帽5 5️⃣
按鍵5	按鍵5 5️⃣
符號5	符號5 5️⃣
鍵帽6	鍵帽6 6️⃣
按鍵6	按鍵6 6️⃣
符號6	符號6 6️⃣
鍵帽7	鍵帽7 7️⃣
按鍵7	按鍵7 7️⃣
符號7	符號7 7️⃣
鍵帽8	鍵帽8 8️⃣
按鍵8	按鍵8 8️⃣
符號8	符號8 8️⃣
鍵帽9	鍵帽9 9️⃣
按鍵9	按鍵9 9️⃣
符號9	符號9 9️⃣
鍵帽10	鍵帽10 🔟
按鍵10	按鍵10 🔟
符號10	符號10 🔟
大寫字母	大寫字母 🔠
大寫	大寫 🔠
拉丁字母	拉丁字母 🔠 🔡 🔤
小寫字母	小寫字母 🔡
小寫	小寫 🔡
數字	數字 🔢 🔠 🔡 🔣 🔤 🅰️ 🆎 🅱️ 🆑 🆒 🆓 ℹ️ 🆔 Ⓜ️ 🆕 🆖 🅾️ 🆗 🅿️ 🆘 🆙 🆚 🈁 🈂️ 🈷️ 🈶 🈯 🉐 🈹 🈚 🈲 🉑 🈸 🈴 🈳 ㊗️ ㊙️ 🈺 🈵
數字輸入	數字輸入 🔢
數字鍵	數字鍵 🔢
符號	符號 🔣 ✖️ ➕ ➖ ➗ 🟰 ♾️ ‼️ ⁉️ ❓ ❔ ❕ ❗ 〰️ ⚕️ ♻️ ⚜️ 🔱 📛 🔰 ⭕ ✅ ☑️ ✔️ ❌ ❎ ➰ ➿ 〽️ ✳️ ✴️ ❇️ ©️ ®️ ™️ 🫟
符號輸入	符號輸入 🔣
符號鍵	符號鍵 🔣
字母	字母 🔤 🔠 🔡 🔢 🔣 🅰️ 🆎 🅱️ 🆑 🆒 🆓 ℹ️ 🆔 Ⓜ️ 🆕 🆖 🅾️ 🆗 🅿️ 🆘 🆙 🆚 🈁 🈂️ 🈷️ 🈶 🈯 🉐 🈹 🈚 🈲 🉑 🈸 🈴 🈳 ㊗️ ㊙️ 🈺 🈵
輸入	輸入 🔤
A型	A型 🅰️
血型A	血型A 🅰️
A	A 🅰️
AB型	AB型 🆎
血型AB	血型AB 🆎
AB	AB 🆎
B型	B型 🅱️
血型B	血型B 🅱️
B	B 🅱️
CL	CL 🆑
按鍵CL	按鍵CL 🆑
符號CL	符號CL 🆑
酷	酷 🆒
按鍵COOL	按鍵COOL 🆒
符號COOL	符號COOL 🆒
免費	免費 🆓 🈚
按鍵FREE	按鍵FREE 🆓
符號FREE	符號FREE 🆓
信息	信息 ℹ️
資訊	資訊 ℹ️
符號信息	符號信息 ℹ️
身份	身份 🆔
按鍵ID	按鍵ID 🆔
符號ID	符號ID 🆔
圈M	圈M Ⓜ️
符號M	符號M Ⓜ️
圈形M	圈形M Ⓜ️
新	新 🆕
按鍵NEW	按鍵NEW 🆕
符號NEW	符號NEW 🆕
NG	NG 🆖
按鍵NG	按鍵NG 🆖
符號NG	符號NG 🆖
O型	O型 🅾️
血型O	血型O 🅾️
O	O 🅾️
好	好 🆗
按鍵OK	按鍵OK 🆗
符號OK	符號OK 🆗
P	P 🅿️
按鍵P	按鍵P 🅿️
符號P	符號P 🅿️
求救	求救 🆘
按鍵SOS	按鍵SOS 🆘
符號SOS	符號SOS 🆘
按鍵UP	按鍵UP 🆙
符號UP	符號UP 🆙
對比	對比 🆚
按鍵VS	按鍵VS 🆚
符號VS	符號VS 🆚
這裡	這裡 🈁
按鍵這裡	按鍵這裡 🈁
符號這裡	符號這裡 🈁
服務費	服務費 🈂️
按鍵服務費	按鍵服務費 🈂️
符號服務費	符號服務費 🈂️
月費	月費 🈷️
按鍵月費	按鍵月費 🈷️
符號月費	符號月費 🈷️
收費	收費 🈶
按鍵收費	按鍵收費 🈶
符號收費	符號收費 🈶
預留	預留 🈯
按鍵預留	按鍵預留 🈯
符號預留	符號預留 🈯
優惠	優惠 🉐
按鍵優惠	按鍵優惠 🉐
符號優惠	符號優惠 🉐
折扣	折扣 🈹
按鍵折扣	按鍵折扣 🈹
符號折扣	符號折扣 🈹
按鍵免費	按鍵免費 🈚
符號免費	符號免費 🈚
按鍵禁止	按鍵禁止 🈲
符號禁止	符號禁止 🈲
可接受	可接受 🉑
按鍵可接受	按鍵可接受 🉑
符號可接受	符號可接受 🉑
申請	申請 🈸
按鍵申請	按鍵申請 🈸
符號申請	符號申請 🈸
合格	合格 🈴
按鍵合格	按鍵合格 🈴
符號合格	符號合格 🈴
空缺	空缺 🈳
按鍵空缺	按鍵空缺 🈳
符號空缺	符號空缺 🈳
恭喜	恭喜 ㊗️
按鍵恭喜	按鍵恭喜 ㊗️
符號恭喜	符號恭喜 ㊗️
秘密	秘密 ㊙️
按鍵秘密	按鍵秘密 ㊙️
符號秘密	符號秘密 ㊙️
營業	營業 🈺
按鍵營業	按鍵營業 🈺
符號營業	符號營業 🈺
滿員	滿員 🈵
按鍵滿員	按鍵滿員 🈵
符號滿員	符號滿員 🈵
紅圈	紅圈 🔴
紅色	紅色 🔴 🟥 🔺 🔻
橙圈	橙圈 🟠
橙色	橙色 🟠 🟧 🔶 🔸
黃圈	黃圈 🟡
黃色	黃色 🟡 🟨
綠圈	綠圈 🟢
綠色	綠色 🟢 🟩
藍圈	藍圈 🔵
藍色	藍色 🔵 🟦 🔷 🔹
紫圈	紫圈 🟣
紫色	紫色 🟣 🟪
棕圈	棕圈 🟤
棕色	棕色 🟤 🟫
黑圈	黑圈 ⚫
黑色	黑色 ⚫ ⬛ ◼️ ◾ ▪️
白圈	白圈 ⚪
白色	白色 ⚪ ⬜ ◻️ ◽ ▫️
紅方塊	紅方塊 🟥
方形	方形 🟥 🟧 🟨 🟩 🟦 🟪 🟫 ⬛ ⬜ ◼️ ◻️ ◾ ◽ ▪️ ▫️ 🔳 🔲
橙方塊	橙方塊 🟧
黃方塊	黃方塊 🟨
綠方塊	綠方塊 🟩
藍方塊	藍方塊 🟦
紫方塊	紫方塊 🟪
棕方塊	棕方塊 🟫
黑大方塊	黑大方塊 ⬛
白大方塊	白大方塊 ⬜
黑中方塊	黑中方塊 ◼️
白中方塊	白中方塊 ◻️
黑小方塊	黑小方塊 ◾ ▪️
白小方塊	白小方塊 ◽ ▫️
橙大菱形	橙大菱形 🔶
菱形	菱形 🔶 🔷 🔸 🔹 💠
藍大菱形	藍大菱形 🔷
橙小菱形	橙小菱形 🔸
藍小菱形	藍小菱形 🔹
紅三角	紅三角 🔺
三角形	三角形 🔺 🔻
紅倒三角	紅倒三角 🔻
點菱形	點菱形 💠
點	點 💠
圓形按鈕	圓形按鈕 🔘
按鈕	按鈕 🔘 🔳 🔲
白方形按鈕	白方形按鈕 🔳
黑方形按鈕	黑方形按鈕 🔲
歐非	歐非 🌍
地球	地球 🌍 🌎 🌏 🌐
歐洲	歐洲 🌍
美洲	美洲 🌎
亞澳	亞澳 🌏
亞洲	亞洲 🌏
經緯	經緯 🌐
全球	全球 🌐 🗺️
世界地圖	世界地圖 🗺️
地圖	地圖 🗺️ 🗾 🌍 🌎 🌏 🌐 🧭
日本地圖	日本地圖 🗾
指南針	指南針 🧭
羅盤	羅盤 🧭
方位	方位 🧭
雪山	雪山 🏔️
高山	高山 🏔️ ⛰️
冰山	冰山 🏔️
山	山 ⛰️ 🌋 🗻
山脈	山脈 ⛰️
火山	火山 🌋
熔岩	熔岩 🌋
富士山	富士山 🗻
日本山	日本山 🗻
露營	露營 🏕️
帳篷	帳篷 🏕️ ⛺
野營	野營 🏕️
海灘	海灘 🏖️
沙灘	沙灘 🏖️
陽傘	陽傘 🏖️
沙漠	沙漠 🏜️
荒地	荒地 🏜️
乾燥	乾燥 🏜️
荒島	荒島 🏝️
小島	小島 🏝️
孤島	孤島 🏝️
國家公園	國家公園 🏞️
公園	公園 🏞️
自然	自然 🏞️
體育場	體育場 🏟️
古典建築	古典建築 🏛️
建築施工	建築施工 🏗️
磚	磚 🧱
岩石	岩石 🪨
木材	木材 🪵
小屋	小屋 🛖
房屋	房屋 🏘️
廢棄房屋	廢棄房屋 🏚️
房子	房子 🏠
花園房子	花園房子 🏡
辦公樓	辦公樓 🏢
日本郵局	日本郵局 🏣
郵局	郵局 🏤
醫院	醫院 🏥
銀行	銀行 🏦
酒店	酒店 🏨 🛎️ 🧳
情侶酒店	情侶酒店 🏩
便利店	便利店 🏪
學校	學校 🏫
百貨商店	百貨商店 🏬
工廠	工廠 🏭
日本城堡	日本城堡 🏯
城堡	城堡 🏰
婚禮	婚禮 💒
東京塔	東京塔 🗼
自由女神像	自由女神像 🗽
教堂	教堂 ⛪
清真寺	清真寺 🕌
印度教寺廟	印度教寺廟 🛕
猶太教堂	猶太教堂 🕍
神社	神社 ⛩️
克爾白	克爾白 🕋
噴泉	噴泉 ⛲
多霧	多霧 🌁
星空夜晚	星空夜晚 🌃
城市景觀	城市景觀 🏙️
山中日出	山中日出 🌄
日出	日出 🌅
黃昏城市	黃昏城市 🌆
日落	日落 🌇
夜晚橋	夜晚橋 🌉
溫泉	溫泉 ♨️
旋轉木馬	旋轉木馬 🎠
滑梯	滑梯 🛝
摩天輪	摩天輪 🎡
過山車	過山車 🎢
理髮柱	理髮柱 💈
馬戲團帳篷	馬戲團帳篷 🎪
火車頭	火車頭 🚂
火車車廂	火車車廂 🚃
高速列車	高速列車 🚄
子彈列車	子彈列車 🚅
火車	火車 🚆
地鐵	地鐵 🚇
輕軌	輕軌 🚈
車站	車站 🚉
電車	電車 🚊
單軌列車	單軌列車 🚝
山地火車	山地火車 🚞
電車車廂	電車車廂 🚋
公車	公車 🚌
迎面公車	迎面公車 🚍
無軌電車	無軌電車 🚎
小型巴士	小型巴士 🚐
救護車	救護車 🚑
消防車	消防車 🚒
警車	警車 🚓
迎面警車	迎面警車 🚔
計程車	計程車 🚕
迎面計程車	迎面計程車 🚖
汽車	汽車 🚗
迎面汽車	迎面汽車 🚘
運動型多用途車	運動型多用途車 🚙
皮卡車	皮卡車 🛻
貨車	貨車 🚚
聯結卡車	聯結卡車 🚛
拖拉機	拖拉機 🚜
賽車	賽車 🏎️
摩托車	摩托車 🏍️
機車	機車 🛵
手動輪椅	手動輪椅 🦽
電動輪椅	電動輪椅 🦼
自動人力車	自動人力車 🛺
自行車	自行車 🚲
滑板車	滑板車 🛴
滑板	滑板 🛹
滾軸溜冰鞋	滾軸溜冰鞋 🛼
公車站	公車站 🚏
高速公路	高速公路 🛣️
鐵路軌道	鐵路軌道 🛤️
油桶	油桶 🛢️
加油站	加油站 ⛽
車輪	車輪 🛞
警車燈	警車燈 🚨
水平交通燈	水平交通燈 🚥
垂直交通燈	垂直交通燈 🚦
停車標誌	停車標誌 🛑
施工	施工 🚧
錨	錨 ⚓
救生圈	救生圈 🛟
帆船	帆船 ⛵
